t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
5.170000000000000151e-01,2.681372417251989271e-01,4.813753250273228868e-01,3.881246689474541212e-01,3.016636331858765629e+02,-5.905133837994652746e-01,-8.222590411693431633e+01,-5.905133837994652746e-01,1.753212467989940819e+02,1.360428689042927886e+02,-8.222590411693431633e+01,1.360428689042927886e+02,-2.967771086668711860e+02,-1.535231152335293281e+00,-3.911974694710584899e-01,1.038361098470126587e+00,-3.911974694710584899e-01,-2.808317175819006639e+00,-4.318618881057337267e-01,1.038361098470126587e+00,-4.318618881057337267e-01,-1.094883063763106179e+00
5.180000000000000160e-01,2.673651498587579223e-01,4.818059579768730893e-01,3.878141464163191721e-01,3.023776550927097446e+02,-6.156628462135400603e-01,-8.234761782830805998e+01,-6.156628462135400603e-01,1.756978745898425700e+02,1.363243387126276218e+02,-8.234761782830805998e+01,1.363243387126276218e+02,-2.972980258812521015e+02,-1.670404636203952187e+00,-4.281206642379137284e-01,1.111295113192328543e+00,-4.281206642379137284e-01,-3.019103029756664114e+00,-4.556937134787125143e-01,1.111295113192328543e+00,-4.556937134787125143e-01,-1.242717612385228154e+00
5.190000000000000169e-01,2.665908565638457906e-01,4.822406646370952510e-01,3.875070227203342155e-01,3.030996961471211648e+02,-6.425873340707766168e-01,-8.246708600188291882e+01,-6.425873340707766168e-01,1.760767089789145530e+02,1.366070206734086412e+02,-8.246708600188291882e+01,1.366070206734086412e+02,-2.978164571972279759e+02,-1.803617671571668968e+00,-4.664525720374300133e-01,1.185102387588542472e+00,-4.664525720374300133e-01,-3.228445268563517878e+00,-4.792132618597998994e-01,1.185102387588542472e+00,-4.792132618597998994e-01,-1.393507328445537929e+00
5.200000000000000178e-01,2.658145344226227613e-01,4.826793879076805571e-01,3.872035170256042935e-01,3.038298039673132394e+02,-6.713204393921734514e-01,-8.258432030180409811e+01,-6.713204393921734514e-01,1.764577516282999454e+02,1.368909329187551407e+02,-8.258432030180409811e+01,1.368909329187551407e+02,-2.983324764132819382e+02,-1.934813811085161817e+00,-5.061668159514675081e-01,1.259712064563948575e+00,-5.061668159514675081e-01,-3.436351585050535284e+00,-5.024023221280272677e-01,1.259712064563948575e+00,-5.024023221280272677e-01,-1.547277457294575331e+00
5.210000000000000187e-01,2.650363494765365369e-01,4.831220673487059414e-01,3.869038535407446355e-01,3.045680257278542626e+02,-7.018943258023661036e-01,-8.269933540292498719e+01,-7.018943258023661036e-01,1.768410038519945999e+02,1.371760937444903732e+02,-8.269933540292498719e+01,1.371760937444903732e+02,-2.988461581219060577e+02,-2.063938521102402834e+00,-5.472361694965940382e-01,1.335053463259343598e+00,-5.472361694965940382e-01,-3.642830381380812277e+00,-5.252433916120669011e-01,1.335053463259343598e+00,-5.252433916120669011e-01,-1.704051410372991349e+00
5.220000000000000195e-01,2.642564608463437992e-01,4.835686390852858563e-01,3.866082621982499523e-01,3.053144080686740267e+02,-7.343396966203898923e-01,-8.281214894654192449e+01,-7.343396966203898923e-01,1.772264665913784256e+02,1.374625215795242923e+02,-8.281214894654192449e+01,1.374625215795242923e+02,-2.993575776066792287e+02,-2.190939234989452533e+00,-5.896325836478318871e-01,1.411056154451086453e+00,-5.896325836478318871e-01,-3.847890768935188888e+00,-5.477196748456962805e-01,1.411056154451086453e+00,-5.477196748456962805e-01,-1.863850790799429280e+00
5.230000000000000204e-01,2.634750203661880841e-01,4.840190357089149131e-01,3.863169793569497523e-01,3.060689970032877909e+02,-7.686857656804658712e-01,-8.292278149078414629e+01,-7.686857656804658712e-01,1.776141403914030548e+02,1.377502349554531804e+02,-8.292278149078414629e+01,1.377502349554531804e+02,-2.998668107405266596e+02,-2.315765403181040405e+00,-6.333272146982380502e-01,1.487650034587684189e+00,-6.333272146982380502e-01,-4.051542567175714815e+00,-5.698150817899400034e-01,1.487650034587684189e+00,-5.698150817899400034e-01,-2.026695418985183572e+00
5.240000000000000213e-01,2.626921722330943787e-01,4.844731861765013137e-01,3.860302485245207249e-01,3.068318378265416868e+02,-8.049602309283681034e-01,-8.303125645585944881e+01,-8.049602309283681034e-01,1.780040253775707413e+02,1.380392524764294251e+02,-8.303125645585944881e+01,1.380392524764294251e+02,-3.003739338852378182e+02,-2.438368539932698198e+00,-6.782904529173253705e-01,1.564765398353658021e+00,-6.782904529173253705e-01,-4.253796301495152754e+00,-5.915142255502573443e-01,1.564765398353658021e+00,-5.915142255502573443e-01,-2.192603358166106187e+00
5.250000000000000222e-01,2.619080526731918379e-01,4.849310157081037076e-01,3.857483210990562683e-01,3.076029750221753147e+02,-8.431892508316821688e-01,-8.313760006436943684e+01,-8.431892508316821688e-01,1.783961212337862321e+02,1.383295927893522901e+02,-8.313760006436943684e+01,1.383295927893522901e+02,-3.008790237923166160e+02,-2.558702266700100481e+00,-7.244919519702974764e-01,1.642333009656335108e+00,-7.244919519702974764e-01,-4.454663200043564864e+00,-6.128024196168017079e-01,1.642333009656335108e+00,-6.128024196168017079e-01,-2.361590939747949314e+00
5.260000000000000231e-01,2.611227896259155079e-01,4.853924456843987101e-01,3.854714571287310432e-01,3.083824521704955828e+02,-8.833974236349634301e-01,-8.324184127691785307e+01,-8.833974236349634301e-01,1.787904271811580941e+02,1.386212745544281688e+02,-8.324184127691785307e+01,1.386212745544281688e+02,-3.013821575052219828e+02,-2.676722352089627943e+00,-7.719006590591162009e-01,1.720284170936525747e+00,-7.719006590591162009e-01,-4.654155189526126613e+00,-6.336656746554106823e-01,1.720284170936525747e+00,-6.336656746554106823e-01,-2.533672788367364426e+00
