t,x,y,z,K11,K12,K13,K21,K22,K23,K31,K32,K33,D11,D12,D13,D21,D22,D23,D31,D32,D33
9.849999999999999867e-01,5.483770697998195942e-01,4.184475016534511954e-02,1.409997516470090084e-01,1.309052688460122624e+02,-1.521076682087854337e+01,8.907601858356108959e-01,-1.521076682087854337e+01,2.115141146885658827e+02,-7.454511386267718365e+00,8.907601858356108959e-01,-7.454511386267718365e+00,1.589345238934590441e+02,2.580085214624679679e+01,-8.882756895643160178e+00,7.506861595551010069e+00,-8.882756895643160178e+00,2.904869260815343068e+01,9.181192781174035034e+00,7.506861595551010069e+00,9.181192781174035034e+00,2.223448292364780698e+01
9.859999999999999876e-01,5.483915064906981218e-01,4.186236826434739516e-02,1.410687365627528167e-01,1.308735598384121772e+02,-1.523328124075536039e+01,8.962937795798808782e-01,-1.523328124075536039e+01,2.115194073283894056e+02,-7.456814415592996959e+00,8.962937795798808782e-01,-7.456814415592996959e+00,1.589404925916323066e+02,2.579557906212460594e+01,-8.895104432800245320e+00,7.511666627849238331e+00,-8.895104432800245320e+00,2.902424472734712069e+01,9.167909600702119022e+00,7.511666627849238331e+00,9.167909600702119022e+00,2.224426375054431659e+01
9.869999999999999885e-01,5.484058832852261034e-01,4.187995660341631982e-02,1.411376323158532731e-01,1.308419192506406148e+02,-1.525579777383446967e+01,9.018316871244518307e-01,-1.525579777383446967e+01,2.115246827969031926e+02,-7.459104587834906042e+00,9.018316871244518307e-01,-7.459104587834906042e+00,1.589465093849912591e+02,2.579031146281876730e+01,-8.907439808764403111e+00,7.516468709454596109e+00,-8.907439808764403111e+00,2.899983569831523411e+01,9.154626693412451388e+00,7.516468709454596109e+00,9.154626693412451388e+00,2.225405171324839060e+01
9.879999999999999893e-01,5.484201996763850007e-01,4.189751501290403524e-02,1.412064387717797964e-01,1.308103470213823130e+02,-1.527831637555383182e+01,9.073738885441960944e-01,-1.527831637555383182e+01,2.115299411013343160e+02,-7.461381905123431579e+00,9.073738885441960944e-01,-7.461381905123431579e+00,1.589525740935924318e+02,2.578504936228499389e+01,-8.919762998669996890e+00,7.521267833779655909e+00,-8.919762998669996890e+00,2.897546550210969585e+01,9.141344096762283655e+00,7.521267833779655909e+00,9.141344096762283655e+00,2.226384680713722730e+01
9.889999999999999902e-01,5.484344551575772719e-01,4.191504332465118693e-02,1.412751557969017524e-01,1.307788430892421445e+02,-1.530083700136646385e+01,9.129203639152210226e-01,-1.530083700136646385e+01,2.115351822490299014e+02,-7.463646369638550659e+00,9.129203639152210226e-01,-7.463646369638550659e+00,1.589586865375807179e+02,2.577979277446916484e+01,-8.932073977688316901e+00,7.526063994250409728e+00,-8.932073977688316901e+00,2.895113411949994386e+01,9.128061848243977039e+00,7.526063994250409728e+00,9.128061848243977039e+00,2.227364902758209197e+01
9.899999999999999911e-01,5.484486492226559040e-01,4.193254137201007231e-02,1.413437832584615583e-01,1.307474073927455720e+02,-1.532335960674066655e+01,9.184710933149834444e-01,-1.532335960674066655e+01,2.115404062474570139e+02,-7.465897983610267019e+00,9.184710933149834444e-01,-7.465897983610267019e+00,1.589648465371909367e+02,2.577454171330723653e+01,-8.944372721027631812e+00,7.530857184306277041e+00,-8.944372721027631812e+00,2.892684153097330224e+01,9.114779985384783956e+00,7.530857184306277041e+00,9.114779985384783956e+00,2.228345836994837015e+01
9.909999999999999920e-01,5.484627813659542772e-01,4.195000898986582516e-02,1.414123210245525342e-01,1.307160398703388751e+02,-1.534588414716028915e+01,9.240260568224015758e-01,-1.534588414716028915e+01,2.115456131042027721e+02,-7.468136749318633250e+00,9.240260568224015758e-01,-7.468136749318633250e+00,1.589710539127487152e+02,2.576929619272519290e+01,-8.956659203933250879e+00,7.535647397400120795e+00,-8.956659203933250879e+00,2.890258771673538973e+01,9.101498545746594004e+00,7.535647397400120795e+00,9.101498545746594004e+00,2.229327482959567774e+01
9.919999999999999929e-01,5.484768510823161414e-01,4.196744601465866170e-02,1.414807689640904254e-01,1.306847404603896337e+02,-1.536841057812497446e+01,9.295852345179705933e-01,-1.536841057812497446e+01,2.115508028269744898e+02,-7.470362669093788099e+00,9.295852345179705933e-01,-7.470362669093788099e+00,1.589773084846717666e+02,2.576405622663903117e+01,-8.968933401687644746e+00,7.540434626998281153e+00,-8.968933401687644746e+00,2.887837265671052123e+01,9.088217566925704816e+00,7.540434626998281153e+00,9.088217566925704816e+00,2.230309840187793569e+01
9.929999999999999938e-01,5.484908578671211510e-01,4.198485228440530098e-02,1.415491269467934743e-01,1.306535091011870975e+02,-1.539093885515041826e+01,9.351486064838741008e-01,-1.539093885515041826e+01,2.115559754235997900e+02,-7.472575745315984896e+00,9.351486064838741008e-01,-7.472575745315984896e+00,1.589836100734712261e+02,2.575882182895464467e+01,-8.981195289610475641e+00,7.545218866580574613e+00,-8.981195289610475641e+00,2.885419633054205946e+01,9.074937086552555598e+00,7.545218866580574613e+00,9.074937086552555598e+00,2.231292908214341963e+01
9.939999999999999947e-01,5.485048012163185049e-01,4.200222763871983012e-02,1.416173948431547758e-01,1.306223457309425271e+02,-1.541346893376860550e+01,9.407161528040985932e-01,-1.541346893376860550e+01,2.115611309020265765e+02,-7.474775980415614640e+00,9.407161528040985932e-01,-7.474775980415614640e+00,1.589899584997527029e+02,2.575359301356781927e+01,-8.993444843058693294e+00,7.550000109640323309e+00,-8.993444843058693294e+00,2.883005871759285554e+01,9.061657142291503320e+00,7.550000109640323309e+00,9.061657142291503320e+00,2.232276686573486657e+01
9.949999999999999956e-01,5.485186806264515935e-01,4.201957191883413933e-02,1.416855725244235975e-01,1.305912502877895633e+02,-1.543600076952806965e+01,9.462878535645457001e-01,-1.543600076952806965e+01,2.115662692703232040e+02,-7.476963376873241529e+00,9.462878535645457001e-01,-7.476963376873241529e+00,1.589963535842175588e+02,2.574836979436419426e+01,-9.005682037426566922e+00,7.554778349684355021e+00,-9.005682037426566922e+00,2.880595979694571085e+01,9.048377771840609540e+00,7.554778349684355021e+00,9.048377771840609540e+00,2.233261174798949966e+01
9.959999999999999964e-01,5.485324955946898617e-01,4.203688496761821825e-02,1.417536598625806499e-01,1.305602227097846253e+02,-1.545853431799414679e+01,9.518636888531460949e-01,-1.545853431799414679e+01,2.115713905366785923e+02,-7.479137937219626053e+00,9.518636888531460949e-01,-7.479137937219626053e+00,1.590027951476640453e+02,2.574315218521917359e+01,-9.017906848145829102e+00,7.559553580233046688e+00,-9.017906848145829102e+00,2.878189954740367185e+01,9.035099012931329554e+00,7.559553580233046688e+00,9.035099012931329554e+00,2.234246372423920235e+01
9.969999999999999973e-01,5.485462456188537894e-01,4.205416662960052149e-02,1.418216567303176578e-01,1.305292629349070808e+02,-1.548106953474920289e+01,9.574436387599719600e-01,-1.548106953474920289e+01,2.115764947094020840e+02,-7.481299664035756081e+00,9.574436387599719600e-01,-7.481299664035756081e+00,1.590092830109884972e+02,2.573794019999785831e+01,-9.030119250685691767e+00,7.564325794820319970e+00,-9.030119250685691767e+00,2.875787794749049198e+01,9.021820903328302776e+00,7.564325794820319970e+00,9.021820903328302776e+00,2.235232278981050413e+01
9.979999999999999982e-01,5.485599301974453113e-01,4.207141675098600986e-02,1.418895630010168496e-01,1.304983709010601842e+02,-1.550360637539291986e+01,9.630276833773498968e-01,-1.550360637539291986e+01,2.115815817969239276e+02,-7.483448559952869950e+00,9.630276833773498968e-01,-7.483448559952869950e+00,1.590158169951865830e+02,2.573273385255507861e+01,-9.042319220552929693e+00,7.569094986993666119e+00,-9.042319220552929693e+00,2.873389497545106153e+01,9.008543480829120043e+00,7.569094986993666119e+00,9.008543480829120043e+00,2.236218894002469071e+01
9.989999999999999991e-01,5.485735488296744622e-01,4.208863517967724455e-02,1.419573785487295292e-01,1.304675465460707358e+02,-1.552614479554250160e+01,9.686158027999738351e-01,-1.552614479554250160e+01,2.115866518077949650e+02,-7.485584627652488443e+00,9.686158027999738351e-01,-7.485584627652488443e+00,1.590223969213544990e+02,2.572753315673524810e+01,-9.054506733291958653e+00,7.573861150314159296e+00,-9.054506733291958653e+00,2.870995060925185172e+01,8.995266783264067811e+00,7.573861150314159296e+00,8.995266783264067811e+00,2.237206217019790344e+01
1.000000000000000000e+00,5.485871010154885763e-01,4.210582176529151927e-02,1.420251032481574804e-01,1.304367898076900474e+02,-1.554868475083295820e+01,9.742079771250176101e-01,-1.554868475083295820e+01,2.115917047506869153e+02,-7.487707869866436994e+00,9.742079771250176101e-01,-7.487707869866436994e+00,1.590290226106900491e+02,2.572233812637236028e+01,-9.066681764484886941e+00,7.578624278356466348e+00,-9.066681764484886941e+00,2.868604482658125576e+01,8.981990848495867041e+00,7.578624278356466348e+00,8.981990848495867041e+00,2.238194247564115713e+01
1.001000000000000112e+00,5.486005862555975998e-01,4.212297635917971322e-02,1.420927369746339819e-01,1.304061006235938578e+02,-1.557122619691734045e+01,9.798041864522486488e-01,-1.557122619691734045e+01,2.115967406343923187e+02,-7.489818289376874105e+00,9.798041864522486488e-01,-7.489818289376874105e+00,1.590356938844940373e+02,2.571714877528995657e+01,-9.078844289751620167e+00,7.583384364708885883e+00,-9.078844289751620167e+00,2.866217760485012178e+01,8.968715714419456475e+00,7.583384364708885883e+00,8.968715714419456475e+00,2.239182985166050344e+01
1.002000000000000002e+00,5.486140040515041782e-01,4.214009881444438776e-02,1.421602796041042949e-01,1.303754789313831282e+02,-1.559376908946697249e+01,9.854044108841365501e-01,-1.559376908946697249e+01,2.116017594678248770e+02,-7.491915889016313557e+00,9.854044108841365501e-01,-7.491915889016313557e+00,1.590424105641711208e+02,2.571196511730099488e+01,-9.090994284749880805e+00,7.588141402973329619e+00,-9.090994284749880805e+00,2.863834892119210451e+01,8.955441418961720856e+00,7.588141402973329619e+00,8.955441418961720856e+00,2.240172429355700601e+01
1.003000000000000114e+00,5.486273539055279702e-01,4.215718898595760544e-02,1.422277310131094541e-01,1.303449246685839569e+02,-1.561631338417173787e+01,9.910086305259730999e-01,-1.561631338417173787e+01,2.116067612600191978e+02,-7.494000671667653712e+00,9.910086305259730999e-01,-7.494000671667653712e+00,1.590491724712313726e+02,2.570678716620789928e+01,-9.103131725175332534e+00,7.592895386765369459e+00,-9.103131725175332534e+00,2.861455875246406322e+01,8.942168000081233359e+00,7.592895386765369459e+00,8.942168000081233359e+00,2.241162579662691812e+01
1.004000000000000004e+00,5.486406353208348463e-01,4.217424673037754174e-02,1.422950910787672829e-01,1.303144377726485459e+02,-1.563885903674027666e+01,9.966168254859746334e-01,-1.563885903674027666e+01,2.116117460201310791e+02,-7.496072640264199727e+00,9.966168254859746334e-01,-7.496072640264199727e+00,1.590559794272913052e+02,2.570161493580247836e+01,-9.115256586761576685e+00,7.597646309714224166e+00,-9.115256586761576685e+00,2.859080707524674736e+01,8.928895495768102819e+00,7.597646309714224166e+00,8.928895495768102819e+00,2.242153435616167911e+01
